,precision,recall,f1-score,support
No-Anomaly,0.9277436946148603,0.9043189368770764,0.9158815612382234,1505
Cell,0.7111111111111111,0.5673758865248227,0.631163708086785,282
Cell-Multi,0.49528301886792453,0.5440414507772021,0.5185185185185185,193
Cracking,0.7291666666666666,0.7446808510638298,0.7368421052631579,141
Hot-Spot,0.5526315789473685,0.5675675675675675,0.56,37
Hot-Spot-Multi,0.36231884057971014,0.6756756756756757,0.4716981132075472,37
Diode,0.9087136929460581,0.9733333333333334,0.9399141630901288,225
Diode-Multi,0.8888888888888888,0.9230769230769231,0.9056603773584906,26
Offline-Module,0.5379310344827586,0.6290322580645161,0.5799256505576208,124
Shadowing,0.630057803468208,0.6855345911949685,0.6566265060240963,159
Soiling,0.3157894736842105,0.4,0.35294117647058826,30
Vegetation,0.6991150442477876,0.6422764227642277,0.6694915254237288,246
